IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
152.70.155.147,8443,8443,true,LAX,North America,US,Los Angeles,296,5.67
131.186.30.44,2053,443,true,ICN,Asia Pacific,KR,Seoul,121,5.66
168.138.212.196,2096,2096,true,NRT,Asia Pacific,JP,Tokyo,189,5.65
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,144,5.64
158.180.76.183,443,443,true,SIN,Asia Pacific,SG,Singapore,123,5.62
152.67.222.167,443,443,true,ICN,Asia Pacific,KR,Seoul,256,5.62
152.70.48.32,443,443,true,FRA,Europe,DE,Frankfurt,384,5.61
64.110.101.31,8443,443,true,KIX,Asia Pacific,JP,Osaka,177,5.56
141.148.220.141,443,443,true,BOM,Asia Pacific,IN,Mumbai,111,5.55
150.230.21.91,443,443,true,FRA,Europe,DE,Frankfurt,311,5.54
141.147.147.180,443,443,true,KIX,Asia Pacific,JP,Osaka,231,5.50
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,186,5.48
89.168.127.84,443,443,true,FRA,Europe,DE,Frankfurt,228,5.47
158.180.63.76,443,443,true,FRA,Europe,DE,Frankfurt,278,5.47
152.67.102.137,443,443,true,SYD,Oceania,AU,Sydney,197,5.46
141.144.198.161,443,443,true,FRA,Europe,DE,Frankfurt,181,5.46
140.238.5.32,443,443,true,ICN,Asia Pacific,KR,Seoul,168,5.45
131.186.25.156,2087,2096,true,ICN,Asia Pacific,KR,Seoul,149,5.44
217.142.149.0,443,443,true,LAX,North America,US,Los Angeles,418,5.44
129.80.230.42,443,443,true,IAD,North America,US,Ashburn,269,5.44
150.230.113.219,443,443,true,FRA,Europe,DE,Frankfurt,260,5.40
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,262,5.38
144.24.90.107,443,443,true,ICN,Asia Pacific,KR,Seoul,216,5.37
217.142.141.52,443,443,true,ICN,Asia Pacific,KR,Seoul,246,5.36
217.142.138.20,443,443,true,ICN,Asia Pacific,KR,Seoul,201,5.32
152.70.52.90,443,443,true,FRA,Europe,DE,Frankfurt,483,5.32
143.47.243.144,8443,443,true,LHR,Europe,GB,London,189,5.26
146.56.164.39,443,443,true,LAX,North America,US,Los Angeles,221,5.22
141.147.24.100,443,443,true,FRA,Europe,DE,Frankfurt,277,5.20
152.70.53.38,443,443,true,FRA,Europe,DE,Frankfurt,286,5.15
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,150,5.13
150.230.20.13,443,443,true,FRA,Europe,DE,Frankfurt,245,5.12
152.70.58.41,443,443,true,FRA,Europe,DE,Frankfurt,338,5.12
158.180.54.15,443,443,true,FRA,Europe,DE,Frankfurt,318,5.10
168.138.46.67,443,443,true,KIX,Asia Pacific,JP,Osaka,282,5.05
144.21.59.50,443,443,true,FRA,Europe,DE,Frankfurt,212,5.05
217.142.128.252,443,443,true,ICN,Asia Pacific,KR,Seoul,208,5.05
141.148.225.100,443,443,true,FRA,Europe,DE,Frankfurt,281,5.05
158.178.151.74,443,443,true,FRA,Europe,DE,Frankfurt,392,5.02
152.70.155.147,2087,2087,true,LAX,North America,US,Los Angeles,295,5.02
129.151.225.228,2053,443,true,MRS,Europe,FR,Marseille,271,4.99
152.70.249.236,443,443,true,LAX,North America,US,Los Angeles,423,4.99
132.145.54.84,8443,443,true,LHR,Europe,GB,London,213,4.96
144.24.188.75,443,443,true,FRA,Europe,DE,Frankfurt,294,4.96
130.162.166.217,443,443,true,FRA,Europe,DE,Frankfurt,250,4.94
141.144.204.159,443,443,true,FRA,Europe,DE,Frankfurt,294,4.91
141.144.197.140,443,443,true,FRA,Europe,DE,Frankfurt,207,4.90
130.162.144.191,443,443,true,ICN,Asia Pacific,KR,Seoul,108,4.86
146.56.46.16,443,443,true,LAX,North America,US,Los Angeles,304,4.83
130.61.201.195,443,443,true,FRA,Europe,DE,Frankfurt,231,4.82
140.238.173.181,8443,443,true,ZRH,Europe,CH,Zurich,411,4.82
146.56.146.132,443,443,true,SIN,Asia Pacific,SG,Singapore,182,4.79
158.180.53.59,443,443,true,FRA,Europe,DE,Frankfurt,249,4.79
146.56.155.254,443,443,true,LAX,North America,US,Los Angeles,363,4.77
141.148.232.123,443,443,true,FRA,Europe,DE,Frankfurt,243,4.77
146.56.190.107,443,443,true,LAX,North America,US,Los Angeles,292,4.76
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,221,4.73
141.145.205.115,8443,8443,true,CDG,Europe,FR,Paris,392,4.72
138.3.252.59,443,443,true,FRA,Europe,DE,Frankfurt,316,4.71
144.24.73.232,443,443,true,ICN,Asia Pacific,KR,Seoul,206,4.69
138.2.18.82,8880,443,true,NRT,Asia Pacific,JP,Tokyo,265,4.69
158.178.149.181,443,443,true,FRA,Europe,DE,Frankfurt,263,4.68
192.9.180.162,443,443,true,SYD,Oceania,AU,Sydney,245,4.66
152.70.155.147,443,443,true,LAX,North America,US,Los Angeles,264,4.62
140.238.218.65,8443,443,true,ZRH,Europe,CH,Zurich,350,4.60
141.144.200.129,443,443,true,FRA,Europe,DE,Frankfurt,264,4.57
158.180.44.194,443,443,true,FRA,Europe,DE,Frankfurt,246,4.55
140.238.212.95,443,443,true,ZRH,Europe,CH,Zurich,265,4.53
141.147.96.55,443,443,true,FRA,Europe,DE,Frankfurt,205,4.51
141.147.85.167,8443,443,true,LHR,Europe,GB,London,359,4.50
141.145.217.226,443,443,true,CDG,Europe,FR,Paris,253,4.47
155.248.196.123,443,443,true,YVR,North America,CA,Vancouver,309,4.45
138.2.176.20,443,443,true,FRA,Europe,DE,Frankfurt,434,4.45
146.56.106.158,443,443,true,ICN,Asia Pacific,KR,Seoul,122,4.42
193.123.81.105,443,443,true,CDG,Europe,FR,Paris,287,4.39
141.147.14.150,443,443,true,FRA,Europe,DE,Frankfurt,327,4.37
138.3.254.44,443,443,true,FRA,Europe,DE,Frankfurt,395,4.36
155.248.177.210,443,443,true,LAX,North America,US,Los Angeles,254,4.35
130.162.183.212,443,443,true,FRA,Europe,DE,Frankfurt,343,4.34
152.70.62.249,443,443,true,FRA,Europe,DE,Frankfurt,332,4.33
143.47.246.219,443,443,true,FRA,Europe,DE,Frankfurt,180,4.27
129.146.168.102,443,443,true,LAX,North America,US,Los Angeles,262,4.23
129.146.171.186,8443,443,true,LAX,North America,US,Los Angeles,273,4.22
143.47.243.144,2053,443,true,LHR,Europe,GB,London,175,4.20
158.180.65.145,443,443,true,ICN,Asia Pacific,KR,Seoul,138,4.13
152.67.150.239,443,443,true,FRA,Europe,DE,Frankfurt,351,4.13
130.162.173.211,443,443,true,FRA,Europe,DE,Frankfurt,207,4.13
152.70.155.147,2096,2096,true,LAX,North America,US,Los Angeles,295,4.08
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,131,4.07
144.24.20.92,8443,443,true,LAX,North America,US,Los Angeles,229,4.05
192.18.148.248,443,443,true,YYZ,North America,CA,Toronto,369,4.02
